v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
6043,4630,933605141344686080,933598712613556225,2,1511423785898,1511422253169
1334,6453,933663701730594816,933663404790759424,2,1511437747782,1511437676986
6453,1334,933666117788213248,933663701730594816,2,1511438323815,1511437747782
4456,1544,933686410262880256,933306918147203072,2,1511443161918,1511352683947
4456,1544,933686543964708864,933306918147203072,2,1511443193795,1511352683947
5974,98,933810471907364864,933314395030949889,2,1511472740519,1511354466575
3964,410,933902703847018496,933894216333246465,2,1511494730327,1511492706746
6269,4699,933904022959882241,933879695468249088,2,1511495044828,1511489244702
3069,3904,933928989118181378,933898202784309248,2,1511500997224,1511493657190
63,5331,933999826831732736,933564704781299712,2,1511517886251,1511414145070
6043,3832,934293577689022465,934290870773325824,2,1511587921913,1511587276534
3973,606,934299194956771334,934296090118991874,2,1511589261174,1511588520923
5974,2249,934367433111900160,934324306519105537,2,1511605530418,1511595248237
6512,6043,934371630192590848,934370791956791296,2,1511606531080,1511606331229
6043,6512,934374001324965889,934371630192590848,2,1511607096402,1511606531080
1760,5828,934461798878769153,934399552962011136,2,1511628028970,1511613188387
6512,3353,934687499464478720,934679450448420869,2,1511681840183,1511679921148
63,2500,934724798898302976,934502062158594048,2,1511690733061,1511637628484
774,55,934985254103801856,934983328511307777,2,1511752830421,1511752371324
3832,4228,935070246238543872,935070070040018945,2,1511773094125,1511773052116
4228,3832,935070365381881856,935070246238543872,2,1511773122531,1511773094125
2739,774,935088790980272129,934985254103801856,2,1511777515536,1511752830421
3391,6453,935303159659896833,935301195354091521,2,1511828625012,1511828156685
1334,6453,935393715689893888,935392799230275584,2,1511850215252,1511849996751
4533,5643,935398645209468929,935257114380877824,2,1511851390541,1511817646962
6453,1334,935399254046138368,935393715689893888,2,1511851535699,1511850215252
1334,1760,935408855244083200,935407103359029248,2,1511853824803,1511853407121
1760,1334,935415709605212160,935408855244083200,2,1511855459010,1511853824803
5971,4228,935424963753918464,935419499271962624,2,1511857665371,1511856362537
4228,5971,935425323184693248,935424963753918464,2,1511857751066,1511857665371
6043,2281,935453111866441728,935442287823224833,2,1511864376404,1511861795751
1589,1550,935567796905295872,935448933270110208,2,1511891719448,1511863380149
669,1589,935585297785430016,935567796905295872,2,1511895891983,1511891719448
774,5073,935744194802606080,935734325714309120,2,1511933775984,1511931423000
6512,3904,935754892928606208,935751600647426048,2,1511936326616,1511935541675
1017,4129,935872134064128000,935835887669207040,2,1511964279081,1511955637267
60,2733,936016138437193728,935760902170832897,2,1511998612399,1511937759331
4463,811,936060889467203585,936059713002774528,2,1512009281876,1512009001385
3391,811,936060906928087040,936059713002774528,2,1512009286039,1512009001385
130,3336,936076959792037888,936076414054313984,2,1512013113340,1512012983226
60,4630,936109123996852226,936105197511806976,2,1512020781884,1512019845737
1334,5974,936115764645437440,936066214085849089,2,1512022365138,1512010551364
6043,3964,936144173161312256,936028847937589249,2,1512029138256,1512001642580
2249,5974,936147614478737409,936066214085849089,2,1512029958730,1512010551364
3964,6043,936159497994715136,936144173161312256,2,1512032791981,1512029138256
6043,3964,936180446731288576,936159497994715136,2,1512037786549,1512032791981
5913,5777,936183567054389249,936145516949311489,2,1512038530492,1512029458640
1017,669,936192923976077312,936188898845138945,2,1512040761356,1512039801690
3964,6043,936197213998366725,936180446731288576,2,1512041784177,1512037786549
3964,6043,936197737871155200,936180446731288576,2,1512041909078,1512037786549
6043,3964,936199613534560257,936197213998366725,2,1512042356271,1512041784177
3964,6043,936207938200338432,936199613534560257,2,1512044341026,1512042356271
3964,6043,936208450349965312,936199613534560257,2,1512044463132,1512042356271
3614,669,936209835611193344,936188898845138945,2,1512044793404,1512039801690
6043,3964,936264004099436544,936208450349965312,2,1512057708178,1512044463132
3964,6043,936346615866056704,936264004099436544,2,1512077404358,1512057708178
3964,6043,936348126801039360,936264004099436544,2,1512077764593,1512057708178
3964,6043,936349057932390401,936264004099436544,2,1512077986592,1512057708178
4463,5828,936593310059130880,936472863808172032,2,1512136220837,1512107504213
4463,5828,936593448186003457,936472863808172032,2,1512136253769,1512107504213
6043,1760,936689444534362112,936669398907146240,2,1512159141082,1512154361832
1292,1645,936750974718414848,936744930172477441,2,1512173811021,1512172369889
1554,4289,936755628722102272,936526946678087680,2,1512174920622,1512120398574
4228,5974,937243208035135489,937182232191549440,2,1512291168589,1512276630000
5974,4228,937243907514970112,937243208035135489,2,1512291335358,1512291168589
702,3964,937297177801400321,937265134250143744,2,1512304035984,1512296396206
4228,5974,937414496833830912,937243907514970112,2,1512332007021,1512291335358
1550,2082,937517998075658240,934311834294697984,2,1512356683640,1511592274627
6353,6453,937520051271241728,937507235013337088,2,1512357173160,1512354117526
3490,3336,937538230534094848,937488960963485696,2,1512361507434,1512349760653
2493,1071,937639422362771456,937630177286283264,2,1512385633446,1512383429248
6043,1785,937640781539504128,937616755270107136,2,1512385957499,1512380229190
6043,2017,937643478107881472,937638736216563712,2,1512386600411,1512385469856
6043,4730,937651393862574080,937592881170210816,2,1512388487674,1512374537161
3336,130,937973658491826176,937953362800025602,2,1512465321549,1512460482679
130,3336,937980085310603266,937973658491826176,2,1512466853822,1512465321549
3336,130,937990054701441024,937980085310603266,2,1512469230710,1512466853822
130,3336,937990258620166144,937990054701441024,2,1512469279328,1512469230710
3336,130,937990422428651520,937990258620166144,2,1512469318383,1512469279328
6043,4730,937993549743656961,937811315107667969,2,1512470063993,1512426615000
2493,1822,937998704518119424,937917800001056768,2,1512471292987,1512452003847
878,5936,938012557410893824,938009450333343744,2,1512474595774,1512473854989
2493,1822,938015289601441792,937917800001056768,2,1512475247179,1512452003847
2493,1822,938015485458706433,937917800001056768,2,1512475293875,1512452003847
2493,1822,938015765608914945,937917800001056768,2,1512475360668,1512452003847
