t_id,author_uid,favourited_by_uid,interaction_type
947363353449570305,762906414041837568,631163382,5
947363731016519686,29630161,383914399,5
947364025247023106,538203228,1437819457,5
947364384531030017,47251363,3163623721,5
947364454735343617,297352182,2595865716,5
947364970794119169,786786247142367232,4788444973,5
947365219256242176,4805904432,2595865716,5
947365659616227328,223120566,2595865716,5
947365709973032960,1682209999,2595865716,5
947366247280271360,65234325,1245702187,5
947366353647931392,180790009,2388222403,5
947366507251724288,348113898,842348951139307522,5
947366973628755968,67612556,4788444973,5
947366987713224705,16444487,631163382,5
947367090398384129,862523168,129620044,5
947367790557650944,2812408944,631163382,5
947368823333818368,865933063846584320,3246614169,5
947369085788024832,185969516,3213121774,5
947369212405727234,821986701052522496,828755674276376576,5
947369677117734912,384958542,4788444973,5
947370061773258752,39364684,915783024,5
947370307731329024,821986701052522496,729307612735361024,5
947370521729097733,352441927,915783024,5
947371250308890624,866789713646034944,805728994620424192,5
947371420094361600,2440580797,4788444973,5
947371866460536832,117375248,31285227,5
947371913755504640,266599412,859497871,5
947372285370949633,189807621,178304383,5
947372516514848768,240452829,396981910,5
947372568993869826,3065412961,300442820,5
947373181538467840,2469880591,396981910,5
947373305304006657,29609364,2338798188,5
947373440708747264,2469880591,396981910,5
947374618578272256,240452829,396981910,5
947376420765835264,360613996,2507275886,5
947377299556585472,445002965,30176213,5
947377401625042944,36998857,2872114958,5
947377533212819456,76744905,805728994620424192,5
947378188149186560,65537597,19184798,5
947379082475462656,34626886,2533375958,5
947379235873751040,1173244519,2872114958,5
947379322964332546,20647444,224776638,5
947379412554665984,4108418717,813327952272183296,5
947379569064947717,31077006,418476917,5
947379569064947717,31077006,426665236,5
947379925606064128,896166389332848640,631163382,5
947380647726690306,44607937,19184798,5
947381921914372096,222686829,631163382,5
947382532030341121,224776638,12851802,5
947382580977876992,272892336,3163623721,5
947382911455715328,126708250,2872114958,5
947383702354399232,48624704,359995092,5
947383702354399232,48624704,631163382,5
947383704506085376,631163382,12851802,5
947383704506085376,631163382,17832653,5
947383704506085376,631163382,178621130,5
947383704506085376,631163382,2935959889,5
947383704506085376,631163382,596192355,5
947383704506085376,631163382,79111635,5
947384183306862592,786786247142367232,4788444973,5
947384396557926401,1554762541,631163382,5
947384617165840385,21254011,915783024,5
947384967272677377,762906414041837568,631163382,5
947385282466156544,39649502,182191483,5
947385449009549312,1852372555,3246614169,5
947385858851708928,1176135546,167738382,5
947385949960458240,2989922147,842348951139307522,5
947386186347286528,3862282533,813327952272183296,5
947386768684228608,2398660411,842348951139307522,5
947387613349953537,89138577,915783024,5
947388120344989697,23424617,2287913214,5
947388493134794752,92424604,1510516256,5
947388594699739136,32816022,2872114958,5
947388655735156736,84832307,153271366,5
947389139954974720,304269747,51028856,5
947389687789903873,613926689,915783024,5
947390294525345793,3862282533,813327952272183296,5
947390465925562369,17828988,201694330,5
947391448810442753,635713874,356749037,5
947391508897939456,2376894708,2533375958,5
947392135958953984,18700216,716573580629180416,5
947392308936310785,171858980,1245702187,5
947392664793530368,40846989,70022634,5
947393305737756672,9560992,22657534,5
947393497576849408,44317642,34491043,5
947394711630868481,4872995112,2338798188,5
947394758619496448,1004694289,842348951139307522,5
947395005852794880,473439271,2935959889,5
947395329640448000,439754127,270071614,5
947395941304119297,943496437928640513,297407536,5
947396022556180480,215138502,1510516256,5
947396864055296000,2281401692,110583398,5
947397185926295553,2445353371,813327952272183296,5
947397473445834754,20386789,1376115612,5
947398437896585217,3861433641,22657534,5
947398937475817472,896166389332848640,371487823,5
947398992949923841,3127313548,842295222994255872,5
947399723014529024,1228096075,631163382,5
947400193850216448,6572712,39024756,5
947400723377004544,1419980078,295603112,5
947400896412917761,334520249,485460551,5
947400909109182464,1115873612,813327952272183296,5
947401013891338240,17627157,915783024,5
947402421323444225,288769813,162944319,5
947402908198248448,741758647902998529,631163382,5
947403079137107968,467130216,631163382,5
947403202403614720,17638086,852362642639396864,5
947403526707200000,3128371130,162944319,5
947403720614014977,1176135546,3213121774,5
947403789870317569,2655609206,631163382,5
947403941171494912,3101335076,813327952272183296,5
947404128220733440,1419980078,295603112,5
947404186114654208,414675676,3163623721,5
947404274115346433,187518287,153271366,5
947404284596858880,2438339976,2388222403,5
947404326733078528,22273748,563623339,5
947404779591892992,187518287,1609972040,5
947405082643091461,360339136,2826253237,5
947405082643091461,360339136,411335454,5
947405371177500672,1419980078,295603112,5
947405425904721921,1419980078,295603112,5
947405685112705025,95659890,859497871,5
947405713617195008,569066139,859497871,5
947405765777637377,3220989962,354044452,5
947406975922446336,569066139,859497871,5
947406982071193601,811229675758505984,753657336678354944,5
947407102808547328,25271358,18371066,5
947407106075963393,487164617,882210433611866112,5
947408169159946240,1547364434,208905805,5
947408380271796225,141628169,497550434,5
947408493102825472,21147300,153271366,5
947408493102825472,21147300,1893154261,5
947408575713832960,813327952272183296,813327952272183296,5
947408764184928257,2909661590,2855810124,5
947408764184928257,2909661590,729307612735361024,5
947408764184928257,2909661590,804986222070284288,5
947408971542937600,151022557,631163382,5
947409058474098688,126536444,2872114958,5
947409211490799618,126536444,2872114958,5
947409222332858368,716403146231123968,813327952272183296,5
947409645177417728,183446375,2338798188,5
947409645177417728,183446375,531756087,5
947409934035161088,788388932799041536,813327952272183296,5
947410176620953600,113874950,208905805,5
947410242240839680,3079401397,1421399192,5
947410310100525057,3099165001,4090035974,5
947410525444497410,300133329,151774270,5
947410525444497410,300133329,31285227,5
947410525444497410,300133329,426665236,5
947410525444497410,300133329,882210433611866112,5
947411150412554240,301202406,1744765753,5
947411538062618625,402598880,3213121774,5
947411663191289856,35619835,182191483,5
947411981367050240,314421811,729307612735361024,5
947412345436831744,71183125,866117433634938880,5
947413421217026050,340279079,300133329,5
947413665325637637,3437784372,4090035974,5
947414282769231872,59399240,182191483,5
947414577213558784,106878278,31285227,5
947415813157306374,569066139,859497871,5
947416440847581184,166959799,31285227,5
947416988741226497,105781964,889287163409387520,5
947417100947042304,259449625,859497871,5
947417347110838273,896941926,631163382,5
947417412755890176,2848111160,729307612735361024,5
947417412755890176,2848111160,845237964372295681,5
947417555324502016,3905011099,12851802,5
947417555324502016,3905011099,1932318385,5
947417662715346944,3694441273,729307612735361024,5
947417712145391616,946551514549669889,889287163409387520,5
947417882203365376,876673567,208905805,5
947418592823439360,834900140452417536,915783024,5
947418597135212544,865363784,889287163409387520,5
947418836424421376,614536075,160483498,5
947419014577319936,113874950,208905805,5
947419311089451008,867875622,753657336678354944,5
947419809444007936,17329786,411335454,5
947419813370056705,601888277,919010720,5
947419830348476417,160858057,269596401,5
947419830348476417,160858057,2949328921,5
947420200223367168,631331182,299010082,5
947420307295387649,2438339976,2388222403,5
947420315688169472,59380597,284960423,5
947420457568841728,92932981,1441028306,5
947420538263298048,327804865,178621130,5
947420701539143681,587527253,882210433611866112,5
947420780710653954,172652106,596192355,5
947420780710653954,172652106,631163382,5
947420813296222209,362333315,28455038,5
947420843331776518,431969214,2595865716,5
947421496955113472,19237409,565183238,5
947421612118298625,942794092685209600,859638096,5
947421630547992576,798397604610641922,2855810124,5
947421630547992576,798397604610641922,729307612735361024,5
947421785695375360,247327242,1866251784,5
947421906705244162,758609408234487808,915783024,5
947421945691295745,336176794,383914399,5
947422184368156672,63525135,182191483,5
947422538132606976,166282004,805728994620424192,5
947422799555043328,66944210,2673546439,5
947423101666566144,37279768,3213121774,5
947423187951693825,2251774148,297407536,5
947423957417783296,742143,4788444973,5
947424044864872448,730513854241771520,823121261869993984,5
947424110501494786,204204860,631163382,5
947424154281742336,134196350,1893154261,5
947424154281742336,134196350,208905805,5
947424154281742336,134196350,3234899714,5
947424246820515841,3114673830,300133329,5
947424246820515841,3114673830,31285227,5
947424506749976576,1437083468,740491872594862081,5
947424655198920705,581368622,631163382,5
947425154799362048,361274334,173377137,5
947425498916724736,3634999874,4090035974,5
947425521939365888,325490808,1609972040,5
947426428760535040,3433516535,208905805,5
947427099068919808,277976868,566774233,5
947427394859577344,1264325563,1626566622,5
947427535834398720,440762178,2520462038,5
947427775681478656,426665236,259076606,5
947427775681478656,426665236,31285227,5
947427775681478656,426665236,882210433611866112,5
947427901984649216,1137174900,284960423,5
947428075335163904,252291818,1712658218,5
947428136135753731,3595947679,4788444973,5
947428204087721984,160856325,359995092,5
947428733161562118,3052657133,702845765966647296,5
947429267583000576,217779019,208905805,5
947429304798818306,1404398520,297407536,5
947429444951539712,23578176,295660077,5
947429646663946241,238364121,804986222070284288,5
947429753732116481,2256540885,1245702187,5
947430376799997952,9560992,497550434,5
947430473847816193,917713331208675328,566774233,5
947430509692575744,586805730,1973860964,5
947430521276997634,2945004350,31285227,5
947430561378791424,160856325,359995092,5
947430782376775680,299251300,299010082,5
947431058047303680,2945004350,31285227,5
947431074161922048,21181713,1105669592,5
947431137869287425,55096306,805728994620424192,5
947431138259230720,55096306,805728994620424192,5
947431368778063872,24103254,1670391769,5
947432007969075202,636531038,43773279,5
947432175124627456,160856325,359995092,5
947433216431947776,137717878,393211622,5
947433891987570688,886997594181820417,30176213,5
947433952968450049,20131514,631163382,5
947434086221656065,207770279,2338798188,5
947434251292676101,278059361,804559051,5
947434811198545920,323014911,284960423,5
947434858313162754,3223486122,162944319,5
947434885194457088,50316035,162944319,5
947435636599824384,1439046398,4788444973,5
947436565776670720,8840552,27596607,5
947436688640319490,48624704,271372416,5
947436688640319490,48624704,631163382,5
947437269866213376,18773718,2520462038,5
947437400678023168,229823662,2507275886,5
947437428360351744,51958185,2388222403,5
947437991198199808,2253378625,162944319,5
947438868395040768,2221359596,2173758794,5
947439039166038016,29947296,1441028306,5
947439109215309824,314568568,1189659446,5
947439427193749505,202884181,2520462038,5
947439527353659393,312696314,356749037,5
947440251424800768,348218654,244488698,5
947440286959063042,81915168,805728994620424192,5
947440424418865153,912077304,753657336678354944,5
947440444765487104,20757610,31285227,5
947440580459745280,296160588,208905805,5
947440871846289409,2819980820,1893154261,5
947440982278189056,87818409,497550434,5
947441042772463619,48624704,2507275886,5
947441217616224256,873811774490910720,804986222070284288,5
947441590338854912,2909661590,2855810124,5
947441590338854912,2909661590,729307612735361024,5
947441590338854912,2909661590,804986222070284288,5
947441684564008961,294471490,42599929,5
947442079684222978,373840878,485460551,5
947442324627513344,189658688,1592164885,5
947442962350219272,163352178,2338798188,5
947442962350219272,163352178,531756087,5
947443101072789504,3773917114,2872114958,5
947443263535026176,41789292,230016871,5
947444313486639104,786854407707037696,842295222994255872,5
947444513743699973,296160588,208905805,5
947445740585889792,163352178,2338798188,5
947446227968204801,313187605,42599929,5
947446576640802816,560962058,2173758794,5
947447298153435136,18060854,1609972040,5
947448639659556864,815036728314511360,300133329,5
947449498279690240,54390651,327060467,5
947449707089055744,2650279423,2872114958,5
947449985259507712,183279961,2338798188,5
947450427506921472,24896412,162944319,5
947450636311891969,3765479422,2931528546,5
947450829690327040,2228621604,299010082,5
947451043511545856,25910700,300133329,5
947451043511545856,25910700,426665236,5
947451059940745217,709996059469152256,729307612735361024,5
947451059940745217,709996059469152256,882210433611866112,5
947451765460418562,288750897,3213121774,5
947452046197903360,6134882,631163382,5
947452287286263808,1481149938,474874069,5
947452387333197824,9609632,3234899714,5
947452485970440192,364815125,307104391,5
947452529754992640,348908419,158910160,5
947452667780988929,3838658773,162944319,5
947452676555419648,2303065644,1139088236,5
947452759787290625,90300296,3234899714,5
947452876221177857,4723899530,3163623721,5
947453163543715840,140118545,525361138,5
947453163543715840,140118545,53603688,5
947453555866292224,22595511,158910160,5
947453907554275328,380125668,2278429897,5
947454016430202880,185527889,31285227,5
947454754325540865,969275161,805728994620424192,5
947454780003065856,935046705992437761,915783024,5
947454816372117506,399572336,37634783,5
947455105502203905,2242247619,95940865,5
947455306019217408,26743512,2880970184,5
947455413028564992,427271003,841429280655527938,5
947455467739004929,742143,4788444973,5
947455762086772736,2248482384,3163623721,5
947456518391087104,1627921021,162944319,5
947456688210157570,4457130200,18399332,5
947456840819990533,2378617483,2872114958,5
947456951155167232,969275161,805728994620424192,5
947457307742531584,4078672385,162944319,5
947457493579456513,61919087,805728994620424192,5
947457767157014529,3279690704,297407536,5
947457846597246976,796624912408408064,249616322,5
947457846597246976,796624912408408064,729307612735361024,5
947458079511203840,174154182,129620044,5
947458483745587200,880818095786524673,2595865716,5
947458526422630400,3374137121,2595865716,5
947458628797079552,4672604790,297407536,5
947458798448283648,951165164,4788444973,5
947458934121447426,22349812,300133329,5
947458942719979520,25073877,32663355,5
947458995756793856,260529993,259076606,5
947459129982951427,769457743807844352,944519143,5
947459195292368897,3314063282,162944319,5
947459257296863234,27852173,2595865716,5
947459858047127552,308389049,22657534,5
947460526036135936,14869615,915783024,5
947460654788526080,744479478793961472,2287913214,5
947461125276237825,4636938738,563623339,5
947461253508812800,36412963,2591477558,5
947461293077757952,815354470066520064,702845765966647296,5
947461306680045569,24896412,162944319,5
947461306680045569,24896412,30176213,5
947461987419676672,42791906,2595865716,5
947461995007172608,175282249,805728994620424192,5
947462001818660866,844079146246389760,162944319,5
947462047398268928,242157056,790469423362560000,5
947462265401352192,280949386,34491043,5
947462268047917056,14879825,178621130,5
947462866667372544,175666812,30176213,5
947462871981707270,1960376359,1592164885,5
947463390791979008,232901331,832078669480763392,5
947463777888354304,272892336,3163623721,5
947464350997999616,25032802,182191483,5
947464685871403009,27602599,2338798188,5
947464774098542593,704704815163686912,3075259483,5
947464798563983360,817007858030088192,32663355,5
947465271731658758,581368622,631163382,5
947465768995827712,37188908,182191483,5
947465870342623233,972651,805728994620424192,5
947466505607774208,320739724,3163623721,5
947466577376559104,36898442,393211622,5
947466577376559104,36898442,65554130,5
947466765444947968,609184445,474874069,5
947467234649051137,82794006,158910160,5
947467234649051137,82794006,3032956254,5
947467380174749696,37360597,1973860964,5
947467380174749696,37360597,31285227,5
947467525327073280,11524932,729307612735361024,5
947467793456173056,565080256,1139088236,5
947467836292710400,187518287,153271366,5
947468318172004353,177144777,2272954322,5
947468787267145728,259371079,566774233,5
947469190268637184,2768501,880996866065707009,5
