t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
946848755034107904,1514581309456,488285969,4397,0,1,0,,,14071129,946653916057366529,,
946848890032078848,1514581341642,827431800070828034,6043,0,1,0,,,21748597,946574651324375042,,
946849162439532544,1514581406589,236855884,1725,1,0,0,785337744,946759864306499588,,,,
946849202394447872,1514581416115,488285969,4397,0,1,1,,,33056274,946541738067243008,1515079200,946377005762621440
946849230718615552,1514581422868,792534278491942912,5834,0,1,0,,,156464691,946844056763613185,,
946849347441795072,1514581450697,488285969,4397,0,1,0,,,64165042,946408160998260736,,
946849410486374401,1514581465728,488285969,4397,0,1,0,,,1253387594,946848259355504640,,
946849590023667712,1514581508533,488285969,4397,0,1,1,,,930066452715114496,946569926244012034,818927131883356161,946226966537089025
946849820307623936,1514581563437,488285969,4397,0,1,0,,,185614627,946573766468890625,,
946849928856322048,1514581589317,488285969,4397,0,1,0,,,2173156765,945952760335179777,,
946850371812466688,1514581694926,488285969,4397,0,1,0,,,2174853163,946530133493497856,,
946850474082238465,1514581719309,488285969,4397,0,1,0,,,2174853163,946672495507021824,,
946850640717799424,1514581759038,488285969,4397,0,1,1,,,16663973,946541822679040000,72981604,946532167265304576
946851000521859073,1514581844822,488285969,4397,0,1,0,,,1551101437,946847767304945664,,
946851390923554816,1514581937901,827431800070828034,6043,1,0,0,870629200348274688,946849193338880000,,,,
946851898312810496,1514582058872,790469423362560000,5823,0,0,0,,,,,,
946851956521238528,1514582072750,99790153,6568,0,1,0,,,817178754,945957558090596352,,
946852000829812736,1514582083314,488285969,4397,1,0,0,1551101437,946847767304945664,,,,
946852093788266497,1514582105477,488285969,4397,0,1,0,,,762373104,946851377728299008,,
946852159957561344,1514582121253,488285969,4397,0,1,0,,,4816,946850779268243456,,
946852325787701248,1514582160790,827431800070828034,6043,0,1,0,,,266922209,946840178118639616,,
946852471191756800,1514582195457,488285969,4397,0,1,0,,,15170258,946496543279812608,,
946852673042518016,1514582243582,827431800070828034,6043,1,0,0,22573600,946534482793738240,,,,
946852821315371008,1514582278933,488285969,4397,0,1,0,,,317532503,946606735904538624,,
946852923522342913,1514582303301,813327952272183296,5949,0,0,0,,,,,,
946853043101868032,1514582331811,488285969,4397,0,1,0,,,224017331,946851722101747712,,
946853208470593536,1514582371238,792534278491942912,5834,0,1,0,,,32201814,946851125793345537,,
946854205607723008,1514582608974,827431800070828034,6043,1,0,0,2711602693,946829765775802368,,,,
946854220610789376,1514582612551,488285969,4397,0,1,0,,,115563859,946851750937616390,,
946854340874067968,1514582641224,792534278491942912,5834,1,0,0,15525413,946848093705834496,,,,
946854378287251456,1514582650144,827431800070828034,6043,0,1,0,,,384233102,946650401243152385,,
946854696173518848,1514582725934,488285969,4397,0,1,0,,,762373104,946853285901643776,,
946854775764611072,1514582744910,488285969,4397,0,1,1,,,40397155,946852606520868864,18753424,946452699154849792
946854902902415360,1514582775222,488285969,4397,0,1,0,,,762373104,946852788444610560,,
946855022465138688,1514582803728,488285969,4397,0,1,0,,,102955736,946853937612754944,,
946855170469543936,1514582839015,99790153,6568,0,1,0,,,1138089060,946152774227648512,,
946855180540063744,1514582841416,393211622,3744,0,1,0,,,71322151,946605164420648960,,
946855184910639104,1514582842458,488285969,4397,0,1,0,,,762373104,946854796140560384,,
946855283292114944,1514582865914,488285969,4397,0,1,0,,,762373104,946854503378067456,,
946855305521987585,1514582871214,99790153,6568,0,1,0,,,2980498207,946576318988242944,,
946855406034239488,1514582895178,488285969,4397,0,1,1,,,1253387594,946854634752131072,4315639054,946635317062205441
946855524053663744,1514582923316,488285969,4397,0,1,1,,,433060763,946852889930088448,384233102,946848022607958016
946855605301420032,1514582942687,488285969,4397,0,1,1,,,352754946,946854952235712512,576797995,946739020054216705
946855909921189888,1514583015314,488285969,4397,0,1,1,,,3288075858,946854375112052741,37379982,946153889945944064
946856163345231873,1514583075735,488285969,4397,0,1,0,,,824797212425191425,946854755808305153,,
946856274339254272,1514583102198,633150785,5072,0,0,0,,,,,,
946856445148041216,1514583142922,813327952272183296,5949,0,0,0,,,,,,
946856482871451648,1514583151916,488285969,4397,0,1,0,,,3044029913,946419181146255361,,
946856556343083009,1514583169433,99790153,6568,0,1,0,,,1486945806,946622625186430976,,
946856667190140928,1514583195861,488285969,4397,0,1,0,,,43792125,946848840342159360,,
946856818612908033,1514583231963,30176213,2765,0,1,0,,,3128371130,946812687186509824,,
946856832387112960,1514583235247,488285969,4397,0,1,0,,,741693001,946557382355599360,,
946857053170974720,1514583287886,488285969,4397,0,1,0,,,322866759,946552389649055745,,
946857402284077056,1514583371121,101749322,30,0,0,0,,,,,,
946857514804506624,1514583397948,488285969,4397,0,1,0,,,1966921812,946854861668220928,,
946858427740909568,1514583615609,99790153,6568,0,1,0,,,16025112,945791356328296449,,
946858503343181824,1514583633634,874044454885142528,6316,1,0,0,25073877,946724075157651457,,,,
946858905463693312,1514583729507,1744765753,977,0,1,1,,,2341419487,946647442832764928,22993014,946472872599363584
946859634131734528,1514583903235,1744765753,977,0,0,1,,,,,3662331,946615287675109377
946859706189881344,1514583920415,236855884,1725,0,1,0,,,751744830,946164026169585666,,
946859803002806272,1514583943497,919010720,6446,0,1,0,,,1138089060,946152774227648512,,
946860079889883136,1514584009512,1744765753,977,0,1,0,,,2476989962,946536963359760384,,
