v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
78,922,927623153609789442,927617104248893440,1,1509997568882,7/11/2017 06:22:06
82,927,927633270673690624,927610774301888512,1,1509999980978,7/11/2017 05:56:57
78,985,927622332113408002,927616514089541632,1,1509997373022,7/11/2017 06:19:45
78,985,927622578709155841,927619610870013952,1,1509997431815,7/11/2017 06:32:04
1008,985,927628084496363520,927616514089541632,1,1509998744497,7/11/2017 06:19:45
1013,985,927630341837344768,927616514089541632,1,1509999282689,7/11/2017 06:19:45
117,989,927633644306362368,927613947095609345,1,1510000070059,7/11/2017 06:09:33
731,994,927626984372310016,927624824918175744,1,1509998482207,7/11/2017 06:52:47
147,995,927622339583447041,927619569858039810,1,1509997374803,7/11/2017 06:31:54
826,995,927627664172732417,927619569858039810,1,1509998644284,7/11/2017 06:31:54
1027,997,927635175835549696,927626699117858816,1,1510000435204,7/11/2017 07:00:14
753,1000,927633634957279232,927626728238809088,1,1510000067830,7/11/2017 07:00:21
1005,1004,927624997635420161,927624019766996994,1,1509998008532,7/11/2017 06:49:35
1021,1004,927632881408544768,927624019766996994,1,1509999888170,7/11/2017 06:49:35
434,1004,927635104746242048,927624019766996994,1,1510000418255,7/11/2017 06:49:35
1020,1019,927632771194896384,927632251134734336,1,1509999861893,7/11/2017 07:22:17
59,2,927641019176321031,927615219836313604,1,1510001828365,7/11/2017 06:14:37
728,21,927638066394574848,927501773090177025,1,1510001124367,6/11/2017 22:43:49
911,21,927638414823866369,927501773090177025,1,1510001207439,6/11/2017 22:43:49
893,21,927638809159667713,927501773090177025,1,1510001301456,6/11/2017 22:43:49
1046,21,927639826882478081,927501773090177025,1,1510001544100,6/11/2017 22:43:49
225,21,927641960822611968,927501773090177025,1,1510002052871,6/11/2017 22:43:49
1048,21,927642770767994880,927501773090177025,1,1510002245977,6/11/2017 22:43:49
501,69,927642175533326336,927641910214238208,1,1510002104062,7/11/2017 08:00:40
112,69,927642705538170880,927641910214238208,1,1510002230425,7/11/2017 08:00:40
813,74,927638321827864581,927637966280843264,1,1510001185267,7/11/2017 07:45:00
81,76,927636503198556160,927635592648806400,1,1510000751672,7/11/2017 07:35:34
81,76,927639925951836160,927637965563670529,1,1510001567720,7/11/2017 07:45:00
81,76,927643579236806656,927642047468703747,1,1510002438731,7/11/2017 08:01:13
581,85,927635657417154560,927631676498436101,1,1510000550022,7/11/2017 07:20:00
504,85,927637239835672576,927636708258070528,1,1510000927300,7/11/2017 07:40:00
83,91,927639912307814400,927635714346545152,1,1510001564467,7/11/2017 07:36:03
802,137,927637429137301504,927637024579862528,1,1510000972433,7/11/2017 07:41:15
802,137,927637625078407168,927633283436781568,1,1510001019149,7/11/2017 07:26:24
802,137,927637865164455936,927637807111192576,1,1510001076390,7/11/2017 07:44:22
143,137,927639930594930688,927633283436781568,1,1510001568827,7/11/2017 07:26:24
245,137,927640039516864512,927637807111192576,1,1510001594796,7/11/2017 07:44:22
802,137,927643024250646528,927642982794194944,1,1510002306412,7/11/2017 08:04:56
143,137,927644079587975168,927642982794194944,1,1510002558024,7/11/2017 08:04:56
118,154,927635432166146049,927634111660900352,1,1510000496318,7/11/2017 07:29:41
280,154,927635868268896256,927634111660900352,1,1510000600293,7/11/2017 07:29:41
78,154,927636525034229761,927469739026276352,1,1510000756878,6/11/2017 20:36:31
78,154,927636557825224704,927635015101321216,1,1510000764696,7/11/2017 07:33:16
545,154,927637725691256832,927466128896430080,1,1510001043137,6/11/2017 20:22:11
545,154,927637820742688768,927439437503410177,1,1510001065799,6/11/2017 18:36:07
1036,154,927638035696640000,927637914351108096,1,1510001117048,7/11/2017 07:44:48
813,154,927638384088141824,927637914351108096,1,1510001200111,7/11/2017 07:44:48
1032,154,927639089729466368,927637914351108096,1,1510001368349,7/11/2017 07:44:48
657,154,927639224618139648,927469739026276352,1,1510001400509,6/11/2017 20:36:31
16,154,927640121674891264,927469739026276352,1,1510001614384,6/11/2017 20:36:31
59,154,927641074398621696,927483201647362048,1,1510001841531,6/11/2017 21:30:01
139,160,927637367917121536,927619656138989568,1,1510000957837,7/11/2017 06:32:15
988,166,927636210301861888,927632021303652352,1,1510000681840,7/11/2017 07:21:23
988,166,927643966975107072,927642023460356096,1,1510002531175,7/11/2017 08:01:07
83,217,927638348549709824,927633722937085952,1,1510001191638,7/11/2017 07:28:08
265,226,927639529187667969,927639019151749121,1,1510001473124,7/11/2017 07:49:11
265,226,927639583533293570,927637587581272065,1,1510001486081,7/11/2017 07:43:30
244,232,927638689215275008,927409058616827904,1,1510001272859,6/11/2017 16:35:24
118,245,927635702061211648,927633283453612032,1,1510000560666,7/11/2017 07:26:24
545,245,927637667864485888,927633283453612032,1,1510001029350,7/11/2017 07:26:24
69,275,927639164186607616,927639024935641089,1,1510001386101,7/11/2017 07:49:12
277,276,927635456749068288,927635423895023617,1,1510000502179,7/11/2017 07:34:54
830,280,927642228213792768,927495923764142080,1,1510002116622,6/11/2017 22:20:34
833,301,927635423865716736,927517172687036416,1,1510000494339,6/11/2017 23:45:01
211,316,927642682368724992,927634151544471552,1,1510002224901,7/11/2017 07:29:50
1055,346,927642376704745472,927333768750235648,1,1510002152025,6/11/2017 11:36:14
1030,374,927636602305654784,927635554640031750,1,1510000775301,7/11/2017 07:35:25
1044,374,927639630148657152,927635554640031750,1,1510001497195,7/11/2017 07:35:25
213,374,927639821627023360,927635554640031750,1,1510001542847,7/11/2017 07:35:25
1049,374,927640821024751616,927635554640031750,1,1510001781122,7/11/2017 07:35:25
362,374,927641325423312896,927635554640031750,1,1510001901380,7/11/2017 07:35:25
210,374,927642566262112256,927635554640031750,1,1510002197219,7/11/2017 07:35:25
253,392,927642969745776640,927641621008543744,1,1510002293417,7/11/2017 07:59:31
596,393,927640042868113408,927409477376032768,1,1510001595595,6/11/2017 16:37:04
1053,393,927642119866429440,927409477376032768,1,1510002090790,6/11/2017 16:37:04
1055,417,927642772500123648,927642449832419328,1,1510002246390,7/11/2017 08:02:49
59,447,927641049396338693,927615703393370113,1,1510001835570,7/11/2017 06:16:32
545,464,927637691520262144,927430136680529920,1,1510001034990,6/11/2017 17:59:10
1037,530,927638232459706369,927362511636008960,1,1510001163960,6/11/2017 13:30:26
1040,530,927643048191729664,927362511636008960,1,1510002312120,6/11/2017 13:30:26
1049,530,927643876726259713,927362511636008960,1,1510002509658,6/11/2017 13:30:26
1048,599,927640709166915584,927638472944263168,1,1510001754453,7/11/2017 07:47:01
855,918,927644206595588096,927642075079753728,1,1510002588305,7/11/2017 08:01:20
1034,985,927637418513240066,927616514089541632,1,1510000969900,7/11/2017 06:19:45
1012,989,927636577391493120,927613947095609345,1,1510000769361,7/11/2017 06:09:33
918,994,927643575378092032,927642942985998336,1,1510002437811,7/11/2017 08:04:47
198,995,927642524273008641,927619569858039810,1,1510002187208,7/11/2017 06:31:54
1029,1000,927635918277591045,927635198371434496,1,1510000612216,7/11/2017 07:34:00
1030,1000,927635959109189632,927635198371434496,1,1510000621951,7/11/2017 07:34:00
210,1000,927640893816836096,927635198371434496,1,1510001798477,7/11/2017 07:34:00
893,1004,927637480441987072,927624019766996994,1,1510000984665,7/11/2017 06:49:35
1035,1004,927637764098572288,927624019766996994,1,1510001052294,7/11/2017 06:49:35
883,1004,927640188313935872,927639554294607872,1,1510001630272,7/11/2017 07:51:19
1035,1004,927640199139491840,927639554294607872,1,1510001632853,7/11/2017 07:51:19
994,1004,927640394719830016,927639554294607872,1,1510001679483,7/11/2017 07:51:19
649,1004,927640592988770304,927639554294607872,1,1510001726754,7/11/2017 07:51:19
868,1004,927642394677280768,927624019766996994,1,1510002156310,7/11/2017 06:49:35
1040,1004,927642528207200256,927639554294607872,1,1510002188146,7/11/2017 07:51:19
1062,1004,927644376762793984,927639554294607872,1,1510002628876,7/11/2017 07:51:19
810,1033,927637152610914304,927636730311712768,1,1510000906504,7/11/2017 07:40:05
918,1046,927643316958588928,927643011521036288,1,1510002376199,7/11/2017 08:05:03
918,1046,927643691291787264,927642637191884800,1,1510002465447,7/11/2017 08:03:34
918,1046,927643805532143616,927641679271682048,1,1510002492684,7/11/2017 07:59:45
918,1046,927643887081963520,927641120430886912,1,1510002512127,7/11/2017 07:57:32
665,1047,927641191285366784,927640103006228480,1,1510001869399,7/11/2017 07:53:29
1080,21,927647885319061504,927515406239014912,1,1510003465381,6/11/2017 23:37:59
1083,21,927648540125413376,927501773090177025,1,1510003621499,6/11/2017 22:43:49
250,21,927648634815922176,927501773090177025,1,1510003644075,6/11/2017 22:43:49
1086,21,927649759883542529,927501773090177025,1,1510003912312,6/11/2017 22:43:49
124,21,927650806005825536,927501773090177025,1,1510004161727,6/11/2017 22:43:49
362,21,927651595583553536,927501773090177025,1,1510004349977,6/11/2017 22:43:49
58,60,927652026162532353,927651771618652161,1,1510004452635,7/11/2017 08:39:51
56,60,927652026166775808,927651771618652161,1,1510004452636,7/11/2017 08:39:51
81,76,927647252708913152,927645583883546626,1,1510003314555,7/11/2017 08:15:16
83,77,927649335784828928,927643504679030784,1,1510003811199,7/11/2017 08:07:00
83,91,927647247285633024,927642021287821315,1,1510003313262,7/11/2017 08:01:07
143,137,927648731666644992,927648607351726081,1,1510003667166,7/11/2017 08:27:17
802,137,927650807087906816,927648607351726081,1,1510004161985,7/11/2017 08:27:17
583,160,927648540083367936,927619656138989568,1,1510003621489,7/11/2017 06:32:15
370,166,927645124120649728,927632021303652352,1,1510002807060,7/11/2017 07:21:23
370,166,927645231910043649,927642023460356096,1,1510002832759,7/11/2017 08:01:07
617,166,927651272810938369,927618571823300608,1,1510004273022,7/11/2017 06:27:56
617,166,927651293518106624,927615174621589504,1,1510004277959,7/11/2017 06:14:26
617,166,927651992507256832,927621791962427392,1,1510004444611,7/11/2017 06:40:44
617,166,927652040993472512,927632021303652352,1,1510004456171,7/11/2017 07:21:23
988,166,927652290667753473,927650694877757440,1,1510004515698,7/11/2017 08:35:35
339,184,927647294962376704,927630121183346693,1,1510003324629,7/11/2017 07:13:50
339,184,927647536361324544,927624038696046593,1,1510003382183,7/11/2017 06:49:39
83,217,927645680260100097,927640487535742978,1,1510002939654,7/11/2017 07:55:01
265,226,927649000068657152,927644246269616128,1,1510003731158,7/11/2017 08:09:57
388,226,927650211861688320,927644246269616128,1,1510004020072,7/11/2017 08:09:57
137,245,927646797484376064,927646730694176768,1,1510003206021,7/11/2017 08:19:50
143,245,927647475296436224,927646730694176768,1,1510003367624,7/11/2017 08:19:50
583,245,927648647965155328,927633283453612032,1,1510003647210,7/11/2017 07:26:24
802,245,927650852302548992,927646730694176768,1,1510004172765,7/11/2017 08:19:50
1099,245,927652220337713152,927633283453612032,1,1510004498930,7/11/2017 07:26:24
69,341,927645062615392256,927644081076891648,1,1510002792396,7/11/2017 08:09:18
168,370,927647188485672960,927626999836819456,1,1510003299243,7/11/2017 07:01:25
1078,374,927646705968803840,927635554640031750,1,1510003184202,7/11/2017 07:35:25
382,374,927652627659210752,927635554640031750,1,1510004596043,7/11/2017 07:35:25
1053,393,927644458203541504,926241169822175233,1,1510002648293,3/11/2017 11:14:38
1094,393,927651364737392640,927409477376032768,1,1510004294939,6/11/2017 16:37:04
555,425,927652352563339271,927652282023292928,1,1510004530455,7/11/2017 08:41:53
410,425,927652597221281792,927652282023292928,1,1510004588786,7/11/2017 08:41:53
222,548,927645596516630528,927630707513585664,1,1510002919688,7/11/2017 07:16:09
298,548,927646503996293120,927630707513585664,1,1510003136048,7/11/2017 07:16:09
464,548,927648294460841984,927630707513585664,1,1510003562928,7/11/2017 07:16:09
167,548,927650344393359360,927630707513585664,1,1510004051670,7/11/2017 07:16:09
436,548,927651480491892736,927630707513585664,1,1510004322537,7/11/2017 07:16:09
830,587,927647139273908224,927383648315228160,1,1510003287510,6/11/2017 14:54:26
917,626,927651221183242240,927393744852258816,1,1510004260713,6/11/2017 15:34:33
645,644,927649521919602688,927636169374027776,1,1510003855577,7/11/2017 07:37:52
674,707,927651441606410240,927450597451644930,1,1510004313266,6/11/2017 19:20:28
786,784,927649264171233280,927649147108212736,1,1510003794125,7/11/2017 08:29:26
830,857,927648122158817280,927648058052980736,1,1510003521848,7/11/2017 08:25:06
319,857,927649310287609856,927648058052980736,1,1510003805120,7/11/2017 08:25:06
362,904,927651563287453696,927651468538126341,1,1510004342277,7/11/2017 08:38:39
